,Domain,SuperGroup,Kingdom,Phylum,Subphylum/Class,Class/Order,Genus
OTU_172,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Chelicerata,Arachnida,Afrochthonius
OTU_173,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Afrostyrax
OTU_174,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Agapanthus
OTU_175,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetes_X
OTU_176,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycotina_X,Agaricomycotina_XX
OTU_177,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Pucciniomycotina,Agaricostilbomycetes,Agaricostilbomycetes_X
OTU_178,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Pucciniomycotina,Agaricostilbomycetes,Agaricostilbum
OTU_179,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricus
OTU_181,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Agation
OTU_182,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Agave
OTU_184,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Pansomonadida,Agitatidae,Agitata
OTU_185,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Pansomonadida,Agitatidae,Agitatidae_X
OTU_186,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Aglaodiaptomus
OTU_187,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Aglaope
OTU_188,Eukaryota,Opisthokonta,Metazoa,Annelida,Annelida_X,Annelida_XX,Aglaophamus
OTU_189,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Aglenchus
OTU_190,Eukaryota,Alveolata,Ciliophora,Oligohymenophorea,Hymenostomatia,Deltopylidae,Agolohymena
OTU_191,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Eurotiomycetes,Agonimia
OTU_194,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Agrocybe
OTU_197,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Agrostistachys
OTU_198,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Agulla
OTU_199,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,Aigialus
OTU_200,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Ailanthus
OTU_201,Eukaryota,Opisthokonta,Metazoa,Annelida,Annelida_X,Annelida_XX,Ainudrilus
OTU_202,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Airapus
OTU_203,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Eurotiomycetes,Ajellomyces
OTU_204,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Akanthomyces
OTU_205,Eukaryota,Opisthokonta,Metazoa,Nematoda,Enoplea,Enoplea_X,Alaimus
OTU_206,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Alangium
OTU_207,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Pezizomycotina_X,Alatospora
OTU_208,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Albatrellus
OTU_209,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Albertiniella
OTU_211,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Albizia
OTU_212,Eukaryota,Opisthokonta,Metazoa,Annelida,Annelida_X,Annelida_XX,Alboglossiphonia
OTU_213,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Pezizomycotina_X,Albotricha
OTU_214,Eukaryota,Stramenopiles,Pseudofungi,Oomycota,Oomycota_X,Oomycota_XX,Albugo
OTU_217,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Aldrovanda
OTU_218,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Lecanoromycetes,Alectoria
OTU_219,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Alectryon
OTU_220,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Aletris
OTU_221,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Pezizomycetes,Aleuria
OTU_222,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Aleurobotrys
OTU_226,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Chelicerata,Arachnida,Aliatypus
OTU_227,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Chelicerata,Arachnida,Alicorhagia
OTU_228,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Chelicerata,Arachnida,Alicorhagidia
OTU_232,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Alisea
OTU_233,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Alisma
OTU_234,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Chelicerata,Arachnida,Alismobates
OTU_238,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Collembola,Allacma
OTU_239,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,Allapsidae,Allantion
OTU_240,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,Allapsidae,Allapsa
OTU_241,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,Allapsidae,Allapsidae_X
OTU_242,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Thaumatomonadida,Thaumatomonadidae,Allas
OTU_243,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Allexis
OTU_244,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Chelicerata,Arachnida,Alliphis
OTU_245,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Allium
OTU_247,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Alloclavaria
OTU_248,Eukaryota,Opisthokonta,Metazoa,Nematoda,Enoplea,Enoplea_X,Allodorylaimus
OTU_249,Eukaryota,Rhizaria,Foraminifera,Monothalamids,Monothalamids_X,Monothalamids_XX,Allogromiid
OTU_250,Eukaryota,Rhizaria,Foraminifera,Monothalamids,Monothalamids_X,Monothalamids_XX,Allogromiina
OTU_251,Eukaryota,Opisthokonta,Fungi,Blastocladiomycota,Blastocladiomycotina,Blastocladiomycetes,Allomyces
OTU_252,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Chelicerata,Arachnida,Allonothrus
OTU_253,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Myriapoda,Pauropoda,Allopauropus
OTU_255,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Chelicerata,Arachnida,Allothyrus
OTU_256,Eukaryota,Excavata,Discoba,Heterolobosea,Acrasida,Acrasidae,Allovahlkampfia
OTU_257,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Alnicola
OTU_258,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Alnus
OTU_259,Eukaryota,Alveolata,Chrompodellids,Colpodellidea,Colpodellida,Alphamonaceae,Alphamonadea_ALPH1
OTU_260,Eukaryota,Alveolata,Chrompodellids,Colpodellidea,Colpodellida,Alphamonaceae,Alphamonadea_ALPH2
OTU_261,Eukaryota,Alveolata,Chrompodellids,Colpodellidea,Colpodellida,Alphamonaceae,Alphamonadea_ALPH3
